Date,User,ABSA_Tweets
2022-12-30 09:42:29+00:00,AbsaSouthAfrica,"@Gene18074972 Hi there, thanks for contacting us. We apologize for the dissatisfaction you experienced with our services. Please send us a DM with detailed information on this matter, and we will investigate it. https://t.co/Y91Sa2GD66"
2022-12-30 09:41:43+00:00,Naledi_E_Ntle,@AbsaSouthAfrica Yes. Multiple times.
2022-12-30 09:39:42+00:00,AbsaSouthAfrica,"@PhetoPatrick Good morning. Your concern is important to us, and we would like to assist. Please give us more clarity regarding the challenges you are experiencing."
2022-12-30 09:37:39+00:00,AbsaSouthAfrica,"@Naledi_E_Ntle Hi there, thank you for reaching out to us here. Have you done a transfer from your Absa account to this specific Capitec account before?"
2022-12-30 09:36:04+00:00,Ancestorsassoc1,"@EugeneMt I have been with FNB for 8 years and they have never approved me for anything meaningful except short term loans, yet @AbsaSouthAfrica approved my car financing without me banking with them. FNB does not care about its clients."
2022-12-30 09:29:55+00:00,AbsaSouthAfrica,"@BaasDeBeer Hi there, thanks for contacting us. We apologize for the dissatisfaction you experienced with our services. Please send us a DM with your details, and we will investigate it. https://t.co/Y91Sa2GD66"
2022-12-30 09:24:18+00:00,AbsaSouthAfrica,@KajonaSimon Hi there. How may we assist? https://t.co/Y91Sa2HaVE
2022-12-30 09:19:09+00:00,BaasDeBeer,"So seems like @AbsaSouthAfrica's @SteersSA vouchers are not being honoured.
Marketing scam or just another case of poor management?"
2022-12-30 09:16:58+00:00,Gene18074972,... why would your estate winding be held back by @AbsaSouthAfrica for a meagre R7k... don't you have a ❤️for your customers...16 months now😡😡😡😡😡😡😡😡
2022-12-30 09:15:53+00:00,investindia,@IribaWaterGroup @SunKingGlobal @ZOLAElectric @dlightdesign @LumosGlobal @BBOXX_HQ @ZuhuraSolns @kuzafreezer @akofresh_co @solakilimo @bodawerk @Coldhubslimited @AVCA_Africa @AfricInvest_Grp @AbsaSouthAfrica @startupdz @algeriasc @Leancubator1 @AlgeriaVenture @OrangeCorners
2022-12-30 09:09:33+00:00,AbsaSouthAfrica,"@Michell09029833 Again, our apologies for this. We've escalated this for our branch team's awareness and action."
2022-12-30 09:05:57+00:00,AbsaSouthAfrica,@miss_wanir We're not able to locate the posting with the provided reference number. Could you please provide a link to the posting instead?
2022-12-30 08:39:32+00:00,AbsaSouthAfrica,"@MakatiniNyeleti Hi there, apologies for taking so long to get back to you. Which voucher are you referring to?"
2022-12-30 08:20:14+00:00,AbsaSouthAfrica,"@zikhonantsetho Please DM us your ID number, account number, contact details, and the date that you made the CashSend - we'll refer this to our team for investigation. https://t.co/Y91Sa2GD66"
2022-12-30 08:07:16+00:00,AbsaSouthAfrica,"@andile_69 Again, our apologies for the negative service experience. We've escalated this for our branch team's awareness and action."
2022-12-30 08:04:08+00:00,AbsaSouthAfrica,@fntse Please send us a DM with your  cellphone number. We will ask the team to remove it on their system.  https://t.co/Y91Sa2GD66
2022-12-30 08:00:43+00:00,RuthTMurray,"@AbsaSouthAfrica @Avis @Travelstart Nice to know #absa.  When will you give me my ""real cash back""?  #PayBackMyMoney #duress #abuse - too many to mention.  #bankguarantee #dishonour #ShameOnYou  @Arrie Rautenbach (#BeBrave - contact me). https://t.co/mpPfyXftaF"
2022-12-30 07:59:32+00:00,AbsaSouthAfrica,@BlackTalon947 Hi there. Thanks for reaching out to us. Please call our team on 0860 100 372 for further assistance. https://t.co/Y91Sa2GD66
2022-12-30 07:58:58+00:00,fntse,"@AbsaSouthAfrica What banking profile? 

You literally just ignored everything I just told you."
2022-12-30 07:56:24+00:00,Michell09029833,@AbsaSouthAfrica At Sandton City. Closed for renovations but it there was proper trained staff they could have notified us the bank was closed. I’m just one Kt many that was standing there like fools.
2022-12-30 07:53:00+00:00,AbsaSouthAfrica,@debutante_PJ Have you since received the assistance you required? 2/2
2022-12-30 07:52:53+00:00,AbsaSouthAfrica,@debutante_PJ Hi there. Thank you for sharing your concerns with us; we're sorry to see that your experience was less than expected. We'll escalate this for our branch team's awareness and action. 1/2
